Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,643177,740440,845635,848734,805452,817405,1073385,1006054,911326,855240,716298,825635,10088781
Ngurah Rai,345191,443805,484846,516143,526281,540462,624263,571380,555888,515181,406679,495641,6025760
Soekarno-Hatta,210494,201981,244467,224978,191631,182887,322808,308698,250058,244775,206820,224989,2814586
Juanda,21532,19621,26391,26306,24420,27329,33390,34166,24835,25938,29992,26609,320529
Kualanamu,15656,17740,21693,18538,14624,18153,22330,23753,19851,15744,21538,19966,229586
Husein Sastranegara,11463,12212,15657,14163,10453,6401,12751,13697,13328,13850,14280,17311,155566
Adi Sucipto,10849,12602,14055,11435,9584,7547,13642,13468,12553,11613,10661,10813,138822
Bandara Int. Lombok,5986,5800,9880,10644,7512,8859,13980,4308,3866,3515,2306,3151,79807
Sam Ratulangi,8507,10794,10114,10201,9405,10107,11875,15448,12730,8343,5735,8845,122104
Minangkabau,3253,4459,5057,4293,3002,4549,5100,5602,5094,4055,5118,4801,54383
Sultan Syarif Kasim II,2129,1942,2510,2044,1666,2838,2417,2977,2321,2654,3265,3013,29776
Sultan Iskandar Muda,2802,2915,3402,2941,1717,1468,3297,3087,3074,2058,1137,1315,29213
Ahmad Yani,1680,1724,2020,2232,1612,1647,2114,2650,2117,2022,1844,1930,23592
Supadio,1284,2356,2416,1902,1473,1652,1639,1992,2254,1697,2352,2033,23050
Hasanuddin,832,1004,1099,1077,661,1216,1566,1626,1281,1187,1171,1406,14126
Sultan Badaruddin II,727,788,1015,861,716,1311,1185,2263,1160,1167,1238,1431,13862
Pintu Udara Lainnya,792,697,1013,976,695,979,1028,939,916,1441,2162,2381,14019
B. Pintu Laut,220044,261044,304859,236833,230118,289312,252458,280868,264522,243901,259832,370629,3214420
Batam,115590,155671,175194,144104,142157,167398,144235,159218,153944,141337,155283,233153,1887284
Tanjung Uban,26993,31758,37364,32237,33833,40296,52228,57643,53214,47742,47833,61258,522399
Tanjung Pinang,8753,10704,13261,10449,11268,12815,10661,12310,12530,10759,11073,16020,140603
Tanjung Balai Karimun,5689,7832,8337,7328,5295,7885,6397,6913,7292,5981,6749,9020,84718
Tanjung Benoa,4626,8616,4254,634,2231,4088,29,1315,15,2030,46,3178,31062
Tanjung Mas,2020,3191,6988,437,137,0,0,0,0,133,4686,2315,19907
Pintu Laut Lainnya,56373,43272,59461,41644,35197,56830,38908,43469,37527,35919,34162,45685,528447
C. Pintu Darat,234618,196019,212932,216754,207135,215957,221388,224099,195095,192464,181353,209290,2507104
Jayapura,12616,11696,10331,10641,7542,5864,6643,7706,11220,14147,2467,3202,104075
Atambua,4601,3799,5250,5571,6283,7047,6508,7912,8575,8246,8207,13915,85914
Entikong,1534,2100,2376,1277,1827,2756,1453,1821,1608,1235,1585,3641,23213
Aruk,377,928,766,587,1051,2200,825,1516,1143,745,1066,1125,12329
Nanga Badau,662,694,661,661,1114,1331,849,1121,1097,1098,1034,1826,12148
Pintu Darat Lainnya,214828,176802,193548,198017,189318,196759,205110,204023,171452,166993,166994,185581,2269425
Jumlah (A+B+C),1097839,1197503,1363426,1302321,1242705,1322674,1547231,1511021,1370943,1291605,1157483,1405554,15810305
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,1097839,1197503,1363426,1302321,1242705,1322674,1547231,1511021,1370943,1291605,1157483,1405554,15810305
