Pintu Masuk,Bulan,Jumlah,Jenis Data,Tahun,Bulan_Num,Tanggal
A. Pintu Udara,Januari,548863.0,Sub-Total,2016,1,2016-01-01
Ngurah Rai,Januari,343663.0,Pintu Masuk,2016,1,2016-01-01
Soekarno-Hatta,Januari,153503.0,Pintu Masuk,2016,1,2016-01-01
Juanda,Januari,11674.0,Pintu Masuk,2016,1,2016-01-01
Kualanamu,Januari,10080.0,Pintu Masuk,2016,1,2016-01-01
Husein Sastranegara,Januari,10964.0,Pintu Masuk,2016,1,2016-01-01
Adi Sucipto,Januari,6415.0,Pintu Masuk,2016,1,2016-01-01
Bandara Int. Lombok,Januari,5162.0,Pintu Masuk,2016,1,2016-01-01
Sam Ratulangi,Januari,625.0,Pintu Masuk,2016,1,2016-01-01
Minangkabau,Januari,3378.0,Pintu Masuk,2016,1,2016-01-01
Sultan Syarif Kasim II,Januari,1523.0,Pintu Masuk,2016,1,2016-01-01
Sultan Iskandar Muda,Januari,,Pintu Masuk,2016,1,2016-01-01
Ahmad Yani,Januari,,Pintu Masuk,2016,1,2016-01-01
Supadio,Januari,,Pintu Masuk,2016,1,2016-01-01
Hasanuddin,Januari,755.0,Pintu Masuk,2016,1,2016-01-01
Sultan Badaruddin II,Januari,,Pintu Masuk,2016,1,2016-01-01
Pintu Udara Lainnya,Januari,1121.0,Pintu Masuk Lainnya,2016,1,2016-01-01
B. Pintu Laut,Januari,148144.0,Sub-Total,2016,1,2016-01-01
Batam,Januari,108888.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Uban,Januari,21484.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Pinang,Januari,5971.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Balai Karimun,Januari,6735.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Benoa,Januari,,Pintu Masuk,2016,1,2016-01-01
Tanjung Mas,Januari,,Pintu Masuk,2016,1,2016-01-01
Pintu Laut Lainnya,Januari,5066.0,Pintu Masuk Lainnya,2016,1,2016-01-01
C. Pintu Darat,Januari,36791.0,Sub-Total,2016,1,2016-01-01
Jayapura,Januari,,Pintu Masuk,2016,1,2016-01-01
Atambua,Januari,,Pintu Masuk,2016,1,2016-01-01
Entikong,Januari,1050.0,Pintu Masuk,2016,1,2016-01-01
Aruk,Januari,,Pintu Masuk,2016,1,2016-01-01
Nanga Badau,Januari,,Pintu Masuk,2016,1,2016-01-01
Pintu Darat Lainnya,Januari,35741.0,Pintu Masuk Lainnya,2016,1,2016-01-01
Jumlah (A+B+C),Januari,733798.0,Grand Total,2016,1,2016-01-01
Lainnya,Januari,80505.0,Pintu Masuk Lainnya,2016,1,2016-01-01
Total,Januari,814303.0,Grand Total,2016,1,2016-01-01
A. Pintu Udara,Februari,592968.0,Sub-Total,2016,2,2016-02-01
Ngurah Rai,Februari,367024.0,Pintu Masuk,2016,2,2016-02-01
Soekarno-Hatta,Februari,164317.0,Pintu Masuk,2016,2,2016-02-01
Juanda,Februari,14955.0,Pintu Masuk,2016,2,2016-02-01
Kualanamu,Februari,14851.0,Pintu Masuk,2016,2,2016-02-01
Husein Sastranegara,Februari,8402.0,Pintu Masuk,2016,2,2016-02-01
